p_game,p_strikeout,batting_avg,slg_percent,on_base_percent,p_era,winning?
24,74,0.223,0.332,0.318,3.68,Yes
25,46,0.204,0.434,0.291,3.64,Yes
63,69,0.234,0.383,0.327,3.97,Yes
26,120,0.297,0.457,0.374,5.39,Yes
27,130,0.266,0.433,0.312,4.44,Yes
27,30,0.211,0.333,0.284,1.75,Yes
27,32,0.175,0.25,0.246,2.31,Yes
27,170,0.214,0.375,0.315,4.2,Yes
69,78,0.206,0.284,0.295,3.6,Yes
27,114,0.275,0.427,0.344,4.51,Yes
27,131,0.281,0.414,0.358,4.91,Yes
56,50,0.221,0.362,0.281,3.43,Yes
28,91,0.285,0.478,0.346,4.71,Yes
28,149,0.252,0.447,0.302,5.05,Yes
72,76,0.197,0.345,0.317,3.66,Yes
67,69,0.231,0.512,0.289,4.83,Yes
28,97,0.26,0.527,0.314,5.44,Yes
28,40,0.144,0.231,0.345,2.59,Yes
28,105,0.287,0.421,0.327,4.42,Yes
28,35,0.206,0.435,0.314,5.15,Yes
28,23,0.267,0.446,0.358,4.15,Yes
29,22,0.344,0.58,0.383,6.37,Yes
29,33,0.267,0.443,0.302,3.67,Yes
56,53,0.202,0.346,0.296,2.52,Yes
62,58,0.214,0.333,0.273,2,Yes
62,76,0.198,0.319,0.315,3.39,Yes
67,42,0.217,0.279,0.271,2.37,Yes
53,40,0.258,0.404,0.339,3.71,Yes
59,77,0.232,0.401,0.293,3.23,Yes
30,199,0.222,0.429,0.279,4.22,Yes
30,146,0.225,0.4,0.294,4.47,Yes
30,211,0.2,0.317,0.254,2.56,Yes
30,117,0.267,0.457,0.305,5.11,Yes
30,44,0.158,0.267,0.312,2.7,Yes
30,23,0.269,0.462,0.355,5.01,Yes
31,134,0.262,0.452,0.297,4.53,Yes
57,78,0.238,0.359,0.282,2.74,Yes
31,143,0.258,0.435,0.298,4.37,Yes
65,56,0.261,0.406,0.32,4.28,Yes
31,175,0.234,0.417,0.313,4.53,Yes
31,41,0.192,0.397,0.279,2.4,Yes
31,164,0.245,0.476,0.306,4.34,Yes
32,247,0.215,0.321,0.263,2.78,Yes
32,114,0.281,0.485,0.362,5.78,Yes
32,176,0.242,0.389,0.308,4.4,Yes
32,194,0.255,0.415,0.304,3.91,Yes
58,87,0.186,0.294,0.292,2.5,Yes
32,104,0.258,0.474,0.305,5.41,Yes
65,57,0.192,0.238,0.261,0.95,Yes
60,84,0.206,0.357,0.284,3.79,Yes
33,192,0.255,0.402,0.328,3.98,Yes
33,201,0.223,0.365,0.276,3.19,Yes
33,48,0.291,0.534,0.376,6.37,Yes
34,26,0.208,0.275,0.296,2.67,Yes
34,40,0.183,0.358,0.289,2.75,Yes
34,28,0.237,0.505,0.324,4.26,Yes
34,33,0.224,0.32,0.331,2.45,Yes
34,33,0.279,0.441,0.346,4.19,Yes
69,113,0.174,0.318,0.199,2.54,Yes
35,37,0.327,0.55,0.344,6.57,Yes
35,73,0.204,0.307,0.267,2.84,Yes
36,35,0.268,0.528,0.352,5.97,Yes
36,37,0.211,0.366,0.276,2.38,Yes
36,130,0.186,0.355,0.3,3.55,Yes
65,103,0.207,0.367,0.242,2.57,Yes
37,40,0.274,0.478,0.333,6,Yes
38,21,0.237,0.37,0.285,2.56,Yes
39,58,0.272,0.428,0.334,4.03,Yes
67,83,0.235,0.384,0.268,3.06,Yes
68,44,0.241,0.335,0.267,2.95,Yes
39,107,0.194,0.255,0.266,1.36,Yes
65,76,0.159,0.244,0.361,4.1,Yes
61,57,0.206,0.309,0.262,3.4,Yes
40,121,0.234,0.373,0.3,2.89,Yes
41,61,0.262,0.379,0.378,6.06,Yes
41,44,0.244,0.407,0.294,3.45,Yes
64,59,0.228,0.316,0.302,2.23,Yes
55,62,0.216,0.418,0.281,3.2,Yes
43,63,0.216,0.444,0.274,3.43,Yes
62,58,0.196,0.33,0.234,2.72,Yes
44,42,0.296,0.422,0.36,6.39,Yes
44,33,0.244,0.359,0.348,3.57,Yes
44,103,0.21,0.374,0.277,3.5,Yes
53,61,0.18,0.253,0.284,1.77,Yes
60,73,0.207,0.319,0.276,2.7,Yes
46,39,0.256,0.372,0.34,4.33,Yes
60,71,0.207,0.35,0.287,2.79,Yes
