@relation ML_Quarter_1_Labeled_SelfSelected-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V

@attribute p_k_percent numeric
@attribute p_bb_percent numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute on_base_percent numeric
@attribute hard_hit_percent numeric
@attribute winning? {No,Yes}

@data
23.4,3.7,0.235,0.384,0.268,36.1,Yes
25.7,12.7,0.239,0.374,0.351,30.1,Yes
23,7.4,0.218,0.358,0.286,33.9,Yes
19.2,4.6,0.265,0.453,0.299,46.7,Yes
15.8,7.1,0.217,0.279,0.271,32.8,Yes
22.3,6.1,0.252,0.447,0.302,35.9,Yes
24.9,8.4,0.24,0.336,0.308,37.5,Yes
31.2,9.4,0.192,0.332,0.282,35.1,Yes
22.7,8.9,0.287,0.455,0.351,42.5,Yes
31.7,9.2,0.219,0.4,0.308,34.3,Yes
20.2,6.4,0.242,0.439,0.3,38.5,Yes
19.2,11.7,0.267,0.446,0.358,38.3,Yes
26.2,6.8,0.231,0.512,0.289,45.4,Yes
17.9,4.1,0.267,0.457,0.305,28.2,Yes
26.6,11,0.235,0.47,0.326,42.8,Yes
29.4,9.8,0.211,0.333,0.284,38.7,Yes
32.4,5.2,0.208,0.297,0.248,40.4,Yes
28.4,6.6,0.269,0.419,0.333,32.2,Yes
26.4,8.1,0.199,0.364,0.276,41.5,Yes
42.3,2.6,0.174,0.318,0.199,40.1,Yes
27.5,8.2,0.174,0.286,0.258,34.5,Yes
16.9,4,0.243,0.328,0.282,32,Yes
26.7,9.1,0.265,0.531,0.339,44.2,Yes
19.6,2.7,0.241,0.335,0.267,39.6,Yes
23.7,5,0.267,0.443,0.302,39.4,Yes
35.7,7.6,0.211,0.405,0.267,43.7,Yes
31.2,9,0.227,0.401,0.297,34,Yes
30.7,12.5,0.186,0.355,0.3,43.2,Yes
27.5,10.3,0.248,0.435,0.328,39.4,Yes
31.7,8.6,0.182,0.374,0.257,41.3,Yes
23.9,6.7,0.175,0.25,0.246,27.8,Yes
20.4,5.3,0.258,0.435,0.298,41.6,Yes
39.9,15.6,0.182,0.359,0.317,40,Yes
33.2,13.6,0.176,0.352,0.294,40.7,Yes
29.1,5.4,0.215,0.321,0.263,28.5,Yes
19.8,10.7,0.238,0.354,0.345,36.2,Yes
18.9,6.9,0.228,0.383,0.28,39.2,Yes
31.8,14.8,0.212,0.399,0.347,45.4,Yes
19,8,0.286,0.51,0.34,41.2,Yes
17.2,10.5,0.308,0.478,0.399,38.4,Yes
