p_game,p_total_hits,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,p_earned_run,p_era,p_rbi,p_called_strike,p_unearned_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,meatball_percent,pitch_hand,n_fastball_formatted,fastball_avg_speed,winning?
28,160,19,95,37,16.3,6.4,0.299,0.481,0.347,89,6.27,83,360,7,89.5,13.3,36.4,7.9,40.9,7.3,R,54.8,93.2,Yes
57,49,9,53,26,21.8,10.7,0.229,0.407,0.313,30,4.85,33,150,2,88.8,12.1,38,14.1,40.7,8.3,R,40.1,92.8,No
27,163,21,130,41,19.5,6.1,0.266,0.433,0.312,78,4.44,74,419,4,89,12.9,33.1,6.3,39.6,7.8,R,64.5,91.5,Yes
63,31,6,100,23,42.6,9.8,0.15,0.272,0.243,15,2.26,18,175,4,90.2,19.2,39.4,4.6,39,6.3,R,58.8,96.6,No
38,32,3,21,9,14.6,6.3,0.237,0.37,0.285,11,2.56,16,69,0,90.8,-0.1,21.9,7,45.6,5.9,L,68.6,88.8,Yes
24,78,15,63,38,18.9,11.4,0.274,0.509,0.353,51,6.29,47,196,3,89.5,16,35.1,8.7,38.1,7.6,L,65.5,92,No
28,14,0,44,13,37.9,11.2,0.143,0.184,0.267,6,1.86,6,96,2,84.5,20.7,30.9,3.6,30.9,7.5,R,33.1,93.8,No
27,19,2,30,10,29.4,9.8,0.211,0.333,0.284,5,1.75,5,88,1,89.6,7.4,41.9,4.8,38.7,10,L,75.3,93.9,Yes
64,49,4,81,13,32.4,5.2,0.208,0.297,0.248,16,2.25,20,182,3,90.2,6.6,30.8,6.4,40.4,8.8,R,39.7,95.4,Yes
9,45,6,52,12,28.4,6.6,0.269,0.419,0.333,15,3.16,14,130,4,84.6,5.7,32.2,3.5,32.2,6.5,L,48.6,93.6,Yes
71,49,11,87,28,30.7,9.9,0.198,0.403,0.29,26,3.44,27,184,1,88.7,20.7,36.8,9.2,41.1,5.7,L,47.3,92.8,No
57,46,8,58,22,24,9.1,0.213,0.38,0.289,17,2.61,18,154,4,86.9,20.3,33.8,8.8,29.4,8.1,R,57.1,94.8,Yes
29,36,4,25,21,18.4,15.4,0.313,0.487,0.419,17,5.46,22,105,3,93.1,7.8,40,11.1,53.3,7.2,R,49.1,89.9,No
69,45,11,113,7,42.3,2.6,0.174,0.318,0.199,20,2.54,26,116,3,89.8,19.4,26.9,9.7,40.1,8.3,R,68.9,97.7,Yes
48,28,3,50,15,27.5,8.2,0.174,0.286,0.258,14,2.86,14,158,2,85.5,-0.1,27.4,5.3,34.5,7.6,R,41,97.6,Yes
36,136,19,97,36,19.1,7.1,0.296,0.481,0.356,60,4.74,63,337,11,88.6,10.2,40.3,9.3,42.2,5.6,L,67.3,91.5,No
14,48,7,29,15,14.8,7.7,0.277,0.462,0.332,25,4.93,24,146,1,87.9,13.2,29.5,7.4,34.2,7.7,R,56.5,90.4,No
16,73,15,40,27,14.1,9.5,0.297,0.537,0.363,54,8.06,52,157,2,89.1,12.2,31.5,9.9,40.4,7,R,41,91.6,No
17,24,4,20,5,18.3,4.6,0.238,0.406,0.275,17,5.74,11,65,0,89.5,19.1,36.1,6,39.8,9.7,R,90.6,90.7,No
67,51,6,62,31,23.4,11.7,0.226,0.345,0.325,25,3.65,31,184,9,87.1,14,33.9,6.5,32.1,8.1,R,66,96.6,No
31,170,27,134,38,19.1,5.4,0.262,0.452,0.297,84,4.53,80,395,3,87,18.2,35.7,8.5,33,7.1,L,73.8,88.4,Yes
34,65,7,50,13,22.5,5.9,0.323,0.488,0.369,28,5.21,38,137,7,91.3,12.2,34.8,6.5,45.2,6.9,R,53.5,91.2,No
31,39,10,44,15,26.7,9.1,0.265,0.531,0.339,27,6.75,34,90,1,90.6,19.4,38.5,14.4,44.2,9.1,R,88.2,92.1,Yes
70,55,11,58,24,22.3,9.2,0.241,0.425,0.315,26,3.82,27,187,7,88.8,10.7,33.1,8.6,39.8,8.7,R,49,95.4,No
68,51,4,44,6,19.6,2.7,0.241,0.335,0.267,19,2.95,21,115,1,88.1,-5.3,25.6,4.1,39.6,10,L,86,89.2,Yes
35,30,5,33,18,23.7,12.9,0.254,0.449,0.353,21,6.3,23,99,5,88.9,14.3,29.9,9.2,35.6,7.1,R,51.1,93.6,No
32,26,2,38,21,26.2,14.5,0.217,0.317,0.352,20,5.63,19,96,2,90.2,6.1,32.9,8.5,43.9,5.9,R,90.2,92.9,No
30,151,24,243,41,33.5,5.6,0.223,0.372,0.267,65,3.23,64,523,4,88.7,12.5,33,9.8,38.6,8.4,R,48,97.7,No
