@relation ML_Quarter_1_Labeled_WrapperSubsetEval-Train

@attribute p_home_run numeric
@attribute p_strikeout numeric
@attribute p_walk numeric
@attribute batting_avg numeric
@attribute slg_percent numeric
@attribute p_era numeric
@attribute winning? {No,Yes}

@data
24,210,64,0.234,0.396,3.75,No
7,31,14,0.268,0.545,6.35,No
2,24,19,0.252,0.37,4.94,No
21,136,58,0.194,0.383,4.95,No
20,96,19,0.258,0.489,4.19,No
7,22,14,0.241,0.436,3.28,No
1,19,10,0.229,0.354,4.56,No
2,20,13,0.19,0.27,3.38,No
14,100,25,0.224,0.418,4.05,No
6,30,13,0.298,0.496,6.67,No
6,41,22,0.233,0.399,3.16,No
5,67,34,0.216,0.31,3.18,No
8,35,19,0.307,0.474,4.61,No
4,36,18,0.254,0.406,5.75,No
12,52,16,0.278,0.536,4.78,No
3,19,12,0.292,0.504,5.86,No
2,51,16,0.234,0.31,2.26,No
6,49,29,0.201,0.332,3.75,No
6,28,19,0.247,0.505,5.81,No
14,99,17,0.193,0.386,3.12,No
23,65,29,0.256,0.538,6.37,No
12,37,12,0.233,0.395,3.92,Yes
7,22,8,0.344,0.58,6.37,Yes
0,36,11,0.192,0.267,2.14,Yes
12,78,22,0.175,0.364,3.5,Yes
16,124,53,0.221,0.371,3.58,Yes
7,56,23,0.261,0.406,4.28,Yes
17,128,28,0.241,0.425,4.68,Yes
25,91,55,0.285,0.478,4.71,Yes
21,201,50,0.223,0.365,3.19,Yes
4,44,18,0.193,0.285,3.92,Yes
5,37,14,0.257,0.395,3.09,Yes
4,59,25,0.228,0.316,2.23,Yes
1,43,27,0.235,0.336,4.73,Yes
8,58,26,0.272,0.428,4.03,Yes
10,37,5,0.327,0.55,6.57,Yes
7,58,10,0.196,0.33,2.72,Yes
8,47,28,0.222,0.406,4.34,Yes
15,156,44,0.207,0.351,3.18,Yes
13,83,13,0.235,0.384,3.06,Yes
5,71,35,0.239,0.374,4.21,Yes
8,62,20,0.218,0.358,4.11,Yes
17,88,21,0.265,0.453,3.62,Yes
2,42,19,0.217,0.279,2.37,Yes
26,149,41,0.252,0.447,5.05,Yes
5,98,33,0.24,0.336,3.76,Yes
8,83,25,0.192,0.332,3.34,Yes
6,51,20,0.287,0.455,5.07,Yes
5,38,11,0.219,0.4,4.94,Yes
24,124,39,0.242,0.439,4.67,Yes
4,23,14,0.267,0.446,4.15,Yes
16,69,18,0.231,0.512,4.83,Yes
25,117,27,0.267,0.457,5.11,Yes
15,75,31,0.235,0.47,4.41,Yes
2,30,10,0.211,0.333,1.75,Yes
4,81,13,0.208,0.297,2.25,Yes
6,52,12,0.269,0.419,3.16,Yes
12,85,26,0.199,0.364,3.22,Yes
11,113,7,0.174,0.318,2.54,Yes
3,50,15,0.174,0.286,2.86,Yes
5,55,13,0.243,0.328,2.22,Yes
10,44,15,0.265,0.531,6.75,Yes
4,44,6,0.241,0.335,2.95,Yes
5,33,7,0.267,0.443,3.67,Yes
8,75,16,0.211,0.405,3.31,Yes
10,83,24,0.227,0.401,3.59,Yes
16,130,53,0.186,0.355,3.55,Yes
10,72,27,0.248,0.435,3.94,Yes
19,137,37,0.182,0.374,2.59,Yes
2,32,9,0.175,0.25,2.31,Yes
24,143,37,0.258,0.435,4.37,Yes
9,97,38,0.182,0.359,3.36,Yes
9,78,32,0.176,0.352,4.07,Yes
16,247,46,0.215,0.321,2.78,Yes
4,35,19,0.238,0.354,5.85,Yes
7,33,12,0.228,0.383,3.59,Yes
9,75,35,0.212,0.399,5.26,Yes
37,143,60,0.286,0.51,5.82,Yes
6,41,25,0.308,0.478,7.56,Yes
5,38,15,0.237,0.41,5.53,Yes
8,77,20,0.232,0.401,3.23,Yes
4,43,20,0.189,0.329,2.48,Yes
35,97,36,0.26,0.527,5.44,Yes
21,157,58,0.245,0.42,4.59,Yes
24,140,44,0.238,0.422,4.3,Yes
26,146,55,0.225,0.4,4.47,Yes
11,90,31,0.287,0.462,4.35,Yes
10,32,25,0.294,0.552,7.55,Yes
8,65,34,0.202,0.369,3.23,Yes
28,129,38,0.254,0.48,5.36,Yes
5,71,20,0.207,0.35,2.79,Yes
5,73,23,0.207,0.319,2.7,Yes
6,70,37,0.234,0.351,5.17,Yes
6,44,12,0.244,0.407,3.45,Yes
3,23,14,0.2,0.324,2.15,Yes
2,40,25,0.144,0.231,2.59,Yes
